,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,1,USA,"33,230,561",,"591,514",,"25,909,393",,"6,729,654","9,427","99,903","1,778","450,287,188","1,353,729","332,627,330",North America,10,562,1,,,"20,232"
1,2,India,"20,275,543",,"222,383",,"16,600,703",,"3,452,457","8,944","14,573",160,"291,647,037","209,615","1,391,345,879",Asia,69,"6,257",5,,,"2,481"
2,3,Brazil,"14,791,434",,"408,829",,"13,336,476",,"1,046,129","8,318","69,176","1,912","46,439,030","217,184","213,823,632",South America,14,523,5,,,"4,892"
3,4,France,"5,656,007",,"105,130",,"4,656,418",,"894,459","5,630","86,490","1,608","77,161,949","1,179,945","65,394,549",Europe,12,622,1,,,"13,678"
4,5,Turkey,"4,900,121",,"41,191",,"4,515,819",,"343,111","3,438","57,582",484,"47,987,986","563,918","85,097,446",Asia,17,"2,066",2,,,"4,032"
5,6,Russia,"4,831,744",,"111,198",,"4,450,289",,"270,257","2,300","33,097",762,"130,000,000","890,491","145,986,929",Europe,30,"1,313",1,,,"1,851"
6,7,UK,"4,421,850",,"127,539",,"4,231,750",,"62,561",185,"64,851","1,870","156,302,824","2,292,349","68,184,563",Europe,15,535,0,,,918
7,8,Italy,"4,050,708",,"121,433",,"3,505,717",,"423,558","2,490","67,079","2,011","59,236,655","980,947","60,387,240",Europe,15,497,1,,,"7,014"
8,9,Spain,"3,540,430",,"78,293",,"3,222,697",,"239,440","2,323","75,699","1,674","47,213,067","1,009,474","46,769,962",Europe,13,597,1,,,"5,120"
9,10,Germany,"3,435,877",,"84,020",,"3,040,700",,"311,157","5,049","40,899","1,000","55,490,413","660,534","84,008,377",Europe,24,"1,000",2,,,"3,704"
10,11,Argentina,"3,021,179",,"64,792",,"2,698,072",,"258,315","5,426","66,338","1,423","11,329,752","248,773","45,542,532",South America,15,703,4,,,"5,672"
11,12,Colombia,"2,905,254",,"75,164",,"2,721,317",,"108,773","6,006","56,593","1,464","14,999,981","292,192","51,336,116",South America,18,683,3,,,"2,119"
12,13,Poland,"2,805,756",,"68,105",,"2,529,844",,"207,807","2,593","74,203","1,801","14,459,033","382,394","37,811,840",Europe,13,555,3,,,"5,496"
13,14,Iran,"2,555,587",,"72,875",,"2,004,949",,"477,763","5,461","30,104",858,"16,240,345","191,309","84,890,684",Asia,33,"1,165",5,,,"5,628"
14,15,Mexico,"2,349,900","+1,027","217,345",+112,"1,872,375","+5,184","260,180","4,798","18,067","1,671","6,659,184","51,199","130,064,845",North America,55,598,20,8,0.9,"2,000"
15,16,Ukraine,"2,085,938",,"44,750",,"1,681,815",,"359,373",177,"47,938","1,028","9,487,141","218,030","43,513,052",Europe,21,972,5,,,"8,259"
16,17,Peru,"1,814,127",,"62,375",,"1,688,091",,"63,661","2,654","54,388","1,870","11,293,108","338,571","33,355,236",South America,18,535,3,,,"1,909"
17,18,Indonesia,"1,682,004",,"45,949",,"1,535,491",,"100,564",,"6,096",167,"14,791,816","53,605","275,940,759",Asia,164,"6,005",19,,,364
18,19,Czechia,"1,634,619",,"29,365",,"1,562,295",,"42,959",458,"152,403","2,738","18,530,196","1,727,655","10,725,632",Europe,7,365,1,,,"4,005"
